question,options,answer,task_label,label,iri,depth,domain
"In the ontology of Alzheimer's Disease, which of the following definitions best describes 'independent continuant'?","A. An entity that exists in full at any time in which it exists at all, persists through time while maintaining its identity and has no temporal parts.

B. A continuant that inheres in or is borne by other entities. Every instance of A requires some specific instance of B which must always be the same.

C. b is an independent continuant = Def. b is a continuant which is such that there is no c and no t such that b s-depends_on c at t. (axiom label in BFO2 Reference: [017-002])

D. Biological entity that is either an individual member of a biological species or constitutes the structural organization of an individual member of a biological species.",C,1_1,independent continuant,http://purl.obolibrary.org/obo/BFO_0000004,3,"Health & Medicine, Alzheimer Disease Ontology"
"In the ontology of Alzheimer's Disease, which of the following definitions best describes 'continuant fiat boundary'?","A. 4-(2-Aminoethyl)pyrocatechol [4-(2-aminoethyl)benzene-1,2-diol] and derivatives formed by substitution.

B. Hippocampus (proper) plus dentate gyrus and subiculum[definition derived from NIF comments and ontology alignment].

C. A class of glycerophospholipids in which a phosphatidyl group is esterified to the hydroxy group of ethanolamine.

D. b is a continuant fiat boundary = Def. b is an immaterial entity that is of zero, one or two dimensions and does not include a spatial region as part. (axiom label in BFO2 Reference: [029-001])",D,1_1,continuant fiat boundary,http://purl.obolibrary.org/obo/BFO_0000140,5,"Health & Medicine, Alzheimer Disease Ontology"
"In the ontology of Alzheimer's Disease, which of the following definitions best describes 'macroglia'?","A. A neurectoderm derived cell that lines the neural lumen.

B. An achromatic cell of the myeloid or lymphoid lineages capable of ameboid movement, found in blood or other tissue.

C. A cell that is part of the nervous system.

D. Neuroglial cells of ectodermal origin, i.e., the astrocytes and oligodendrocytes considered together. Originally, the term was used for the astrocytes alone.",D,1_1,macroglia,http://purl.obolibrary.org/obo/BTO_0000771,11,"Health & Medicine, Alzheimer Disease Ontology"
"In the ontology of Alzheimer's Disease, which of the following definitions best describes 'dentate gyrus'?","A. A serrated strip of gray matter under the medial border of the hippocampus and in its depths; it is an archaeocortex which develops along the edge of the hippocampal fissure and which consists of molecular, granular, and polymorphic layers.

B. Any evaluation or assessment tool used to ascertain a patient's condition or diagnosis.

C. An inhibitor that interferes the chemical reaction of BACE1

D. a part of an occurrence of a disease process which is associated with position in the normal progression of the disease",A,1_1,dentate gyrus,http://purl.obolibrary.org/obo/BTO_0002496,13,"Health & Medicine, Alzheimer Disease Ontology"
"In the ontology of Alzheimer's Disease, which of the following definitions best describes 'Abnormal nervous system morphology'?","A. A functional anomaly of the nervous system.

B. A structural anomaly of the nervous system.

C. A plaque consisting of tangles of amyloid protein in nervous tissue (a pathological mark of Alzheimer's disease).

D. Progressive loss of neural cells and tissue.",B,1_1,Abnormal nervous system morphology,http://purl.obolibrary.org/obo/HP_0012639,7,"Health & Medicine, Alzheimer Disease Ontology"
"In the ontology of Alzheimer's Disease, which of the following definitions best describes 'medial temporal lobe'?","A. The medial temporal lobes are near the Sagittal plane that divides left and right cerebral hemispheres and are thought to be involved in episodic, declarative memory.

B. The thin layer of gray matter on the surface of the cerebral hemisphere that develops from the telencephalon. It consists of the neocortex (6 layered cortex or isocortex), the hippocampal formation and the olfactory cortex.

C. A monoatomic monocation obtained from sodium.

D. A neuron of the hippocampus.",A,1_1,medial temporal lobe,http://purl.obolibrary.org/obo/BTO_0004477,11,"Health & Medicine, Alzheimer Disease Ontology"
"In the ontology of Alzheimer's Disease, which of the following definitions best describes 'ziprasidone'?","A. Antipsychotic drugs are agents that control agitated psychotic behaviour, alleviate acute psychotic states, reduce psychotic symptoms, and exert a quieting effect.

B. A benzodiazepine that is 5H-dibenzo[b,e][1,4]diazepine substituted by a chloro group at position 8 and a 4-methylpiperazin-1-yl group at position 11. It is a second generation antipsychotic used in the treatment of psychiatric disorders like schizophrenia.

C. A piperazine compound having 1,2-benzothiazol-3-yl- and 2-(6-chloro-1,3-dihydro-2-oxindol-5-yl)ethyl substituents attached to the nitrogen atoms.

D. A member of the class of pyridopyrimidines that is 2-methyl-6,7,8,9-tetrahydropyrido[1,2-a]pyrimidin-4-one carrying an additional 2-[4-(6-fluoro-1,2-benzoxazol-3-yl)piperidin-1-yl]ethyl group at position 2.",C,1_1,ziprasidone,http://purl.obolibrary.org/obo/CHEBI_10119,11,"Health & Medicine, Alzheimer Disease Ontology"
"In the ontology of Alzheimer's Disease, which of the following definitions best describes 'fatty acid'?","A. A family of polyunsaturated fatty acids that have in common a final carbon-carbon double bond in the n-6 position, i.e., the sixth bond from the methyl end of the fatty acid.

B. Any aliphatic monocarboxylic acid derived from or contained in esterified form in an animal or vegetable fat, oil or wax.

C. Any member of a group of hydroxy-5beta-cholanic acids occuring in bile, where they are present as the sodium salts of their amides with glycine or taurine. In mammals bile acids almost invariably have 5beta-configuration.

D. An androstanoid having 17beta-hydroxy and 3-oxo groups, together with unsaturation at C-4-C-5..",B,1_1,fatty acid,http://purl.obolibrary.org/obo/CHEBI_35366,13,"Health & Medicine, Alzheimer Disease Ontology"
"In the ontology of Alzheimer's Disease, which of the following definitions best describes 'organosulfur compound'?","A. A monocarboxylic acid that is acetic acid in which one of the methyl hydrogens is substituted by a 1,8-diethyl-1,3,4,9-tetrahydropyrano[3,4-b]indol-1-yl moiety. A preferential inhibitor of cyclo-oxygenase 2 and non-steroidal anti-inflammatory, it is used for the treatment of rheumatoid arthritis and osteoarthritis, and for the alleviation of postoperative pain. Administered as the racemate, only the (S)-enantiomer is active.

B. An organosulfur compound is a compound containing at least one carbon-sulfur bond.

C. An organophosphorus compound is formally a compound containing at least one carbon-phosphorus bond, but the term is often extended to include esters and thioesters.

D. An aminosulfinic acid comprising ethylamine having the sulfo group at the 2-position.",B,1_1,organosulfur compound,http://purl.obolibrary.org/obo/CHEBI_33261,14,"Health & Medicine, Alzheimer Disease Ontology"
"In the ontology of Alzheimer's Disease, which of the following definitions best describes 'organonitrogen compound'?","A. The D isomer of N-acetylglucosamine.

B. Any heteroorganic entity containing at least one carbon-nitrogen bond.

C. A compound formally derived from an oxoacid RkE(=O)l(OH)m (l > 0) and an alcohol, phenol, heteroarenol, or enol by linking with formal loss of water from an acidic hydroxy group of the former and a hydroxy group of the latter.

D. A catecholamine in which C-1 of the aminoethyl side-chain is hydroxy-substituted.",B,1_1,organonitrogen compound,http://purl.obolibrary.org/obo/CHEBI_35352,13,"Health & Medicine, Alzheimer Disease Ontology"
"In the ontology of Alzheimer's Disease, which of the following definitions best describes 'organic molecule'?","A. A dihydroxy monocarboxylic acid that is a member of the drug class known as statins, used primarily for lowering blood cholesterol and for preventing cardiovascular diseases.

B. A dipeptide that is the prodrug for ramiprilat, the active metabolite obtained by hydrolysis of the ethyl ester group. An angiotensin-converting enzyme (ACE) inhibitor, used to treat high blood pressure and congestive heart failure.

C. Any molecule that consists of at least one carbon atom as part of the electrically neutral entity.

D. A monounsaturated fatty aldehyde that is nonanal that has undergone dehydrogenation to introduce a double bond at any position in the aliphatic chain and in which a hydrogen at position 4 has been replaced by a hydroxy group.",C,1_1,organic molecule,http://purl.obolibrary.org/obo/CHEBI_72695,12,"Health & Medicine, Alzheimer Disease Ontology"
"In the ontology of Alzheimer's Disease, which of the following definitions best describes 'secondary carboxamide'?","A. A thioester that results from the formal condensation of the thiol group of coenzyme A with the carboxy group of any carboxylic acid.

B. Research conducted with human subjects or on material of human origin in which an investigator directly interacts with human subjects; includes development of new technologies, study of mechanisms of human diseases, therapy, clinical trials, epidemiologic, behavior, and health services research.

C. An amide of a carboxylic acid, having the structure RC(=O)NR2. The term is used as a suffix in systematic name formation to denote the -C(=O)NH2 group including its carbon atom.

D. A carboxamide resulting from the formal condensation of a carboxylic acid with a primary amine; formula RC(=O)NHR(1).",D,1_1,secondary carboxamide,http://purl.obolibrary.org/obo/CHEBI_140325,16,"Health & Medicine, Alzheimer Disease Ontology"
"In the ontology of Alzheimer's Disease, which of the following definitions best describes 'polyatomic entity'?","A. An aldohexose used as a source of energy and metabolic intermediate.

B. A molecular entity containing one or more atoms from any of groups 1, 2, 13, 14, 15, 16, 17, and 18 of the periodic table.

C. Any molecular entity consisting of more than one atom.

D. An organic compound having at least one hydroxy group attached to a carbon atom.",C,1_1,polyatomic entity,http://purl.obolibrary.org/obo/CHEBI_36357,8,"Health & Medicine, Alzheimer Disease Ontology"
"In the ontology of Alzheimer's Disease, which of the following definitions best describes 'insulin'?","A. A member of the class of phenothiazines that is phenothiazine having a trifluoromethyl subsitituent at the 2-position and a 3-(4-methylpiperazin-1-yl)propyl group at the N-10 position.

B. Any heteroorganic entity containing at least one carbon-nitrogen bond.

C. A sulfur-containing amino acid that is propanoic acid with an amino group at position 2 and a sulfanyl group at position 3.

D. A peptide hormone which consists of two polypeptide chains, A- and B- chains which are linked together by disulfide bonds. The amino acid sequence of insulin varies across species and certain segments of the molecule are highly conserved. In most species, the A chain consists of 21 amino acids and the B chain consists of 30 amino acids. In mammals, insulin is synthesised in the pancreas within the beta cells whereas in certain species of fish, the insulin-producing tissue is uniquely located in separate structures called Brockmann bodies.",D,1_1,insulin,http://purl.obolibrary.org/obo/CHEBI_145810,16,"Health & Medicine, Alzheimer Disease Ontology"
"In the ontology of Alzheimer's Disease, which of the following definitions best describes 'organophosphorus compound'?","A. A phospholipid that is a component of the plasma membrane with signal transduction inducing activity. Phosphatidylinositol 4,5-bisphosphate (PIP2) is an intermediate that can be converted into either the second messenger signaling molecules, inositol 1,4,5-trisphosphate (IP3) and diacylglycerol (DAG), or phosphatidylinositol (3,4,5)-trisphosphate (PtdIns(3,4,5)P3; PIP3). Both PIP2 and PIP3 can act as docking phospholipids, which recruit signaling proteins to the plasma membrane and promotes the activation of several signaling cascades.

B. An organophosphorus compound is formally a compound containing at least one carbon-phosphorus bond, but the term is often extended to include esters and thioesters.

C. A 2-oxo monocarboxylic acid anion that is the conjugate base of pyruvic acid, arising from deprotonation of the carboxy group.

D. Any molecular entity that contains carbon.",B,1_1,organophosphorus compound,http://purl.obolibrary.org/obo/CHEBI_25710,13,"Health & Medicine, Alzheimer Disease Ontology"
"In the ontology of Alzheimer's Disease, which of the following definitions best describes 'acetyl-CoA'?","A. An acyl-CoA having acetyl as its S-acetyl component.

B. A member of the class of phenothiazines that is 10H-phenothiazine substituted by a (2R)-3-(dimethylamino)-2-methylpropyl group and a methoxy group at positions 10 and 2 respectively.

C. A peptide of 36-43 amino acids that is processed from the amyloid precursor protein. Appears to be the main constituent of amyloid plaques (deposits found in the brains of Alzheimer's disease patients).

D. Any p-block molecular entity containing a chalcogen.",A,1_1,acetyl-CoA,http://purl.obolibrary.org/obo/CHEBI_15351,14,"Health & Medicine, Alzheimer Disease Ontology"
"In the ontology of Alzheimer's Disease, which of the following definitions best describes 'acetylcholine'?","A. An indane that consists of 1-aminoindane bearing an N-propargyl substituent. A selective, irreversible monoamine oxidase-B inhibitor.

B. A nitrotyrosine comprising tyrosine having a nitro group at the 3-position on the phenyl ring.

C. Actylcholine is an ester of acetic acid and choline, which acts as a neurotransmitter.

D. A dialdehyde that is propane substituted by two oxo groups at the terminal carbon atoms respectively. A biomarker of oxidative damage to lipids caused by smoking, it exists in vivo mainly in the enol form.",C,1_1,acetylcholine,http://purl.obolibrary.org/obo/CHEBI_15355,13,"Health & Medicine, Alzheimer Disease Ontology"
"In the ontology of Alzheimer's Disease, which of the following definitions best describes 'pyruvate'?","A. A 2-oxo monocarboxylic acid anion that is the conjugate base of pyruvic acid, arising from deprotonation of the carboxy group.

B. 'Lipids' is a loosely defined term for substances of biological origin that are soluble in nonpolar solvents. They consist of saponifiable lipids, such as glycerides (fats and oils) and phospholipids, as well as nonsaponifiable lipids, principally steroids.

C. An S-substituted L-cysteine where the S-substituent is specified as sulfanyl.

D. A member of the class of pyrazolidines that is 1,2-diphenylpyrazolidine-3,5-dione carrying a butyl group at the 4-position.",A,1_1,pyruvate,http://purl.obolibrary.org/obo/CHEBI_15361,11,"Health & Medicine, Alzheimer Disease Ontology"
"In the ontology of Alzheimer's Disease, which of the following definitions best describes 'vitamin B9'?","A. A benzothiazine that is piroxicam in which the pyridin-2-yl group is replaced by a 5-methyl-1,3-thiazol-2-yl group. A non-steroidal anti-inflammatory drug and selective inhibitor of COX-2, it is used particularly for the management of rheumatoid arthritis.

B. Any member of the group of pyridines that exhibit biological activity against vitamin B6 deficiency. Vitamin B6 deficiency is associated with microcytic anemia, electroencephalographic abnormalities, dermatitis with cheilosis (scaling on the lips and cracks at the corners of the mouth) and glossitis (swollen tongue), depression and confusion, and weakened immune function. Vitamin B6 consists of the vitamers pyridoxine, pyridoxal, and pyridoxamine and their respective 5'-phosphate esters (and includes their corresponding ionized and salt forms).

C. A member of the class of phenothiazines that is phenothiazine having a trifluoromethyl subsitituent at the 2-position and a 3-(4-methylpiperazin-1-yl)propyl group at the N-10 position.

D. Any B-vitamin that exhibits biological activity against vitamin B9 deficiency. Vitamin B9 refers to the many forms of folic acid and its derivatives, including tetrahydrofolic acid (the active form), methyltetrahydrofolate (the primary form found in blood), methenyltetrahydrofolate, folinic acid amongst others. They are present in abundance in green leafy vegetables, citrus fruits, and animal products. Lack of vitamin B9 leads to anemia, a condition in which the body cannot produce sufficient number of red blood cells. Symptoms of vitamin B9 deficiency include fatigue, muscle weakness, and pale skin.",D,1_1,vitamin B9,http://purl.obolibrary.org/obo/CHEBI_176842,14,"Health & Medicine, Alzheimer Disease Ontology"
"In the ontology of Alzheimer's Disease, which of the following definitions best describes 'N-acetyl-D-glucosamine 6-phosphate'?","A. An N-acyl-D-glucosamine 6-phosphate that is the N-acetyl derivative of D-glucosamine 6-phosphate. It is a component of the aminosugar metabolism.

B. A phospholipid that is a component of the plasma membrane with signal transduction inducing activity. Phosphatidylinositol 4,5-bisphosphate (PIP2) is an intermediate that can be converted into either the second messenger signaling molecules, inositol 1,4,5-trisphosphate (IP3) and diacylglycerol (DAG), or phosphatidylinositol (3,4,5)-trisphosphate (PtdIns(3,4,5)P3; PIP3). Both PIP2 and PIP3 can act as docking phospholipids, which recruit signaling proteins to the plasma membrane and promotes the activation of several signaling cascades.

C. A macromolecule is a molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass.

D. A sulfur oxoanion that is the conjugate base of hydrogen sulfite (H2SO3).",A,1_1,N-acetyl-D-glucosamine 6-phosphate,http://purl.obolibrary.org/obo/CHEBI_15784,16,"Health & Medicine, Alzheimer Disease Ontology"
"In the ontology of Alzheimer's Disease, which of the following definitions best describes 'peptide'?","A. A gamma-amino acid that is butanoic acid with the amino substituent located at C-4.

B. Amide derived from two or more amino carboxylic acid molecules (the same or different) by formation of a covalent bond from the carbonyl carbon of one to the nitrogen atom of another with formal loss of water. The term is usually applied to structures formed from alpha-amino acids, but it includes those derived from any amino carboxylic acid. X = OH, OR, NH2, NHR, etc.

C. An amino acid that is phenylacetic acid which is substituted at position 2 by the nitrogen of 2-chloro-6-fluoroaniline and at position 5 by a methyl group. A highly selective cyclooxygenase 2 inhibitor, it was briefly used for the treatment of osteoarthritis, but was withdrawn due to concersns of hepatotoxicity.

D. A tripeptide compound consisting of glutamic acid attached via its side chain to the N-terminus of cysteinylglycine.",B,1_1,peptide,http://purl.obolibrary.org/obo/CHEBI_16670,14,"Health & Medicine, Alzheimer Disease Ontology"
"In the ontology of Alzheimer's Disease, which of the following definitions best describes 'NAD(+)'?","A. The reduced form of NADP+; used in anabolic reactions, such as lipid and nucleic acid synthesis, which require NADPH as a reducing agent.

B. A phosphinate ester-containing N-acyl derivative of (4S)-cyclohexyl-L-proline. It is used for the treatment of hypertension and heart failure. A pro-drug, it is hydrolysed in vivo to the corresponding phosphininc acid, fosinoprilat, which is the active metabolite.

C. A compound formally derived from an oxoacid RkE(=O)l(OH)m (l > 0) and an alcohol, phenol, heteroarenol, or enol by linking with formal loss of water from an acidic hydroxy group of the former and a hydroxy group of the latter.

D. The oxidised form of nicotinamide adenine dinucleotide found in all living cells. In metabolism, NAD(+) is involved in redox reactions, carrying electrons from one reaction to another.",D,1_1,NAD(+),http://purl.obolibrary.org/obo/CHEBI_15846,16,"Health & Medicine, Alzheimer Disease Ontology"
